b1,b2,b3,b4,label
96.0,87.0,87.0,78.75,0
96.75,86.25,87.0,79.5,0
97.5,86.25,87.75,79.5,0
96.75,86.25,87.0,79.5,0
96.0,86.25,87.75,79.5,0
96.75,85.5,87.0,79.5,0
96.0,86.25,87.75,80.25,0
96.0,86.25,87.75,79.5,0
96.75,86.25,87.0,79.5,0
96.0,86.25,87.0,79.5,0
96.0,86.25,87.0,80.25,0
96.0,86.25,87.0,79.5,0
96.0,86.25,86.25,79.5,0
96.75,85.5,87.0,79.5,0
96.75,86.25,87.75,80.25,0
96.75,86.25,87.0,79.5,0
96.75,87.0,87.75,79.5,0
96.75,87.0,87.75,79.5,0
97.5,87.0,87.0,78.75,0
96.75,86.25,87.75,79.5,0
96.0,85.5,86.25,80.25,0
96.75,85.5,87.0,79.5,0
96.0,85.5,86.25,79.5,0
96.75,86.25,87.0,80.25,0
98.25,87.0,87.75,79.5,0
96.0,85.5,87.0,79.5,0
96.75,86.25,87.0,79.5,0
96.75,86.25,87.0,80.25,0
96.75,85.5,86.25,79.5,0
98.25,87.0,87.75,79.5,0
96.0,86.25,86.25,79.5,0
96.75,87.0,87.0,79.5,0
90.75,79.5,78.0,75.75,0
91.5,80.25,78.0,77.25,0
91.5,80.25,78.75,76.5,0
91.5,79.5,78.0,77.25,0
90.0,79.5,77.25,78.75,0
90.0,79.5,77.25,75.0,0
91.5,79.5,78.0,75.75,0
90.75,80.25,78.0,77.25,0
90.75,79.5,77.25,76.5,0
90.75,79.5,77.25,75.0,0
90.0,79.5,77.25,75.75,0
96.0,85.5,87.0,79.5,0
91.5,80.25,78.75,78.75,0
90.75,79.5,78.0,77.25,0
90.75,79.5,77.25,78.75,0
90.0,79.5,77.25,74.25,0
91.5,80.25,78.75,77.25,0
90.0,79.5,77.25,77.25,0
